Judul,Link,judul_lower_case,remove_html,remove_special_characters,remove_escape_characters,cleaned_space,tokenisasi,remove_stopword_english,remove_stopword_indonesia,data_post_cleaned
Survei Ungkap 70% Gen Z Minta Bantuan Orang Tua untuk Melamar Pekerjaan,https://wolipop.detik.com/worklife/d-7633465/survei-ungkap-70-gen-z-minta-bantuan-orang-tua-untuk-melamar-pekerjaan,survei ungkap 70% gen z minta bantuan orang tua untuk melamar pekerjaan,survei ungkap 70% gen z minta bantuan orang tua untuk melamar pekerjaan,survei ungkap  gen z minta bantuan orang tua untuk melamar pekerjaan,survei ungkap  gen z minta bantuan orang tua untuk melamar pekerjaan,survei ungkap  gen z minta bantuan orang tua untuk melamar pekerjaan,"['survei', 'ungkap', 'gen', 'z', 'minta', 'bantuan', 'orang', 'tua', 'untuk', 'melamar', 'pekerjaan']","['survei', 'ungkap', 'gen', 'z', 'minta', 'bantuan', 'orang', 'tua', 'untuk', 'melamar', 'pekerjaan']","['survei', 'gen', 'z', 'bantuan', 'orang', 'tua', 'melamar', 'pekerjaan']","['survei', 'gen', 'z', 'bantuan', 'orang', 'tua', 'lamar', 'pekerjaan']"
'Garut di Eropa' dan Problem Pengetahuan Umum Gen Z/Alpha,https://news.detik.com/kolom/d-7632852/garut-di-eropa-dan-problem-pengetahuan-umum-gen-z-alpha,'garut di eropa' dan problem pengetahuan umum gen z/alpha,'garut di eropa' dan problem pengetahuan umum gen z/alpha,garut di eropa dan problem pengetahuan umum gen zalpha,garut di eropa dan problem pengetahuan umum gen zalpha,garut di eropa dan problem pengetahuan umum gen zalpha,"['garut', 'di', 'eropa', 'dan', 'problem', 'pengetahuan', 'umum', 'gen', 'zalpha']","['garut', 'di', 'eropa', 'dan', 'problem', 'pengetahuan', 'umum', 'gen', 'zalpha']","['garut', 'eropa', 'problem', 'pengetahuan', 'gen', 'zalpha']","['garut', 'eropa', 'problem', 'pengetahuan', 'gen', 'zalpha']"
"Vokalis Close to Breathe Punya Project Solo, Siapkan EP untuk Milenial dan Gen Z",https://www.detik.com/pop/music/d-7633322/vokalis-close-to-breathe-punya-project-solo-siapkan-ep-untuk-milenial-dan-gen-z,"vokalis close to breathe punya project solo, siapkan ep untuk milenial dan gen z","vokalis close to breathe punya project solo, siapkan ep untuk milenial dan gen z",vokalis close to breathe punya project solo siapkan ep untuk milenial dan gen z,vokalis close to breathe punya project solo siapkan ep untuk milenial dan gen z,vokalis close to breathe punya project solo siapkan ep untuk milenial dan gen z,"['vokalis', 'close', 'to', 'breathe', 'punya', 'project', 'solo', 'siapkan', 'ep', 'untuk', 'milenial', 'dan', 'gen', 'z']","['vokalis', 'close', 'breathe', 'punya', 'project', 'solo', 'siapkan', 'ep', 'untuk', 'milenial', 'dan', 'gen', 'z']","['vokalis', 'close', 'breathe', 'project', 'solo', 'siapkan', 'ep', 'milenial', 'gen', 'z']","['vokalis', 'close', 'breathe', 'project', 'solo', 'siap', 'ep', 'milenial', 'gen', 'z']"
Video: Gita Mau Bangun 5.000 Lapangan Olahraga Atasi Masalah Mental Gen Z,https://20.detik.com/detikupdate/20241111-241111154/video-gita-mau-bangun-5-000-lapangan-olahraga-atasi-masalah-mental-gen-z,video: gita mau bangun 5.000 lapangan olahraga atasi masalah mental gen z,video: gita mau bangun 5.000 lapangan olahraga atasi masalah mental gen z,video gita mau bangun  lapangan olahraga atasi masalah mental gen z,video gita mau bangun  lapangan olahraga atasi masalah mental gen z,video gita mau bangun  lapangan olahraga atasi masalah mental gen z,"['video', 'gita', 'mau', 'bangun', 'lapangan', 'olahraga', 'atasi', 'masalah', 'mental', 'gen', 'z']","['video', 'gita', 'mau', 'bangun', 'lapangan', 'olahraga', 'atasi', 'masalah', 'mental', 'gen', 'z']","['video', 'gita', 'bangun', 'lapangan', 'olahraga', 'atasi', 'mental', 'gen', 'z']","['video', 'gita', 'bangun', 'lapangan', 'olahraga', 'atasi', 'ntal', 'gen', 'z']"
Video: Program 4 Cawagub Jabar Biar Gen Z Bermental Sehat,https://news.detik.com/detiktv/d-7633764/video-program-4-cawagub-jabar-biar-gen-z-bermental-sehat,video: program 4 cawagub jabar biar gen z bermental sehat,video: program 4 cawagub jabar biar gen z bermental sehat,video program  cawagub jabar biar gen z bermental sehat,video program  cawagub jabar biar gen z bermental sehat,video program  cawagub jabar biar gen z bermental sehat,"['video', 'program', 'cawagub', 'jabar', 'biar', 'gen', 'z', 'bermental', 'sehat']","['video', 'program', 'cawagub', 'jabar', 'biar', 'gen', 'z', 'bermental', 'sehat']","['video', 'program', 'cawagub', 'jabar', 'biar', 'gen', 'z', 'bermental', 'sehat']","['video', 'program', 'cawagub', 'jabar', 'biar', 'gen', 'z', 'bermental', 'sehat']"
[Verifikata] Ilham Habibie: Hanya 25% Gen Z yang Bisa Dapat Kerja,https://www.detik.com/jabar/pilkada/d-7633808/verifikata-ilham-habibie-hanya-25-gen-z-yang-bisa-dapat-kerja,[verifikata] ilham habibie: hanya 25% gen z yang bisa dapat kerja,[verifikata] ilham habibie: hanya 25% gen z yang bisa dapat kerja,verifikata ilham habibie hanya  gen z yang bisa dapat kerja,verifikata ilham habibie hanya  gen z yang bisa dapat kerja,verifikata ilham habibie hanya  gen z yang bisa dapat kerja,"['verifikata', 'ilham', 'habibie', 'hanya', 'gen', 'z', 'yang', 'bisa', 'dapat', 'kerja']","['verifikata', 'ilham', 'habibie', 'hanya', 'gen', 'z', 'yang', 'bisa', 'dapat', 'kerja']","['verifikata', 'ilham', 'habibie', 'gen', 'z', 'kerja']","['verifikata', 'ilham', 'habibie', 'gen', 'z', 'kerja']"
"Gen Z Milenial Dukung Sherly-Sarbin, Percaya Perempuan Bisa Pimpin Malut",https://www.detik.com/sulsel/pilkada/d-7631059/gen-z-milenial-dukung-sherly-sarbin-percaya-perempuan-bisa-pimpin-malut,"gen z milenial dukung sherly-sarbin, percaya perempuan bisa pimpin malut","gen z milenial dukung sherly-sarbin, percaya perempuan bisa pimpin malut",gen z milenial dukung sherlysarbin percaya perempuan bisa pimpin malut,gen z milenial dukung sherlysarbin percaya perempuan bisa pimpin malut,gen z milenial dukung sherlysarbin percaya perempuan bisa pimpin malut,"['gen', 'z', 'milenial', 'dukung', 'sherlysarbin', 'percaya', 'perempuan', 'bisa', 'pimpin', 'malut']","['gen', 'z', 'milenial', 'dukung', 'sherlysarbin', 'percaya', 'perempuan', 'bisa', 'pimpin', 'malut']","['gen', 'z', 'milenial', 'dukung', 'sherlysarbin', 'percaya', 'perempuan', 'pimpin', 'malut']","['gen', 'z', 'milenial', 'dukung', 'sherlysarbin', 'percaya', 'perempuan', 'pimpin', 'malut']"
Menangkal 'Jam Koma' dengan Yoga,https://health.detik.com/fotohealth/d-7606988/menangkal-jam-koma-dengan-yoga,menangkal 'jam koma' dengan yoga,menangkal 'jam koma' dengan yoga,menangkal jam koma dengan yoga,menangkal jam koma dengan yoga,menangkal jam koma dengan yoga,"['menangkal', 'jam', 'koma', 'dengan', 'yoga']","['menangkal', 'jam', 'koma', 'dengan', 'yoga']","['menangkal', 'jam', 'koma', 'yoga']","['nangkal', 'jam', 'koma', 'yoga']"
Gen Z dan Perubahan Paradigma Pariwisata,https://news.detik.com/kolom/d-7627214/gen-z-dan-perubahan-paradigma-pariwisata,gen z dan perubahan paradigma pariwisata,gen z dan perubahan paradigma pariwisata,gen z dan perubahan paradigma pariwisata,gen z dan perubahan paradigma pariwisata,gen z dan perubahan paradigma pariwisata,"['gen', 'z', 'dan', 'perubahan', 'paradigma', 'pariwisata']","['gen', 'z', 'dan', 'perubahan', 'paradigma', 'pariwisata']","['gen', 'z', 'perubahan', 'paradigma', 'pariwisata']","['gen', 'z', 'perubahan', 'paradigma', 'pariwisata']"
"Jadi Pembicara Talkshow, Risma Beri Pesan ke Gen-Z: Jangan Takut Perubahan",https://news.detik.com/berita/d-7629740/jadi-pembicara-talkshow-risma-beri-pesan-ke-gen-z-jangan-takut-perubahan,"jadi pembicara talkshow, risma beri pesan ke gen-z: jangan takut perubahan","jadi pembicara talkshow, risma beri pesan ke gen-z: jangan takut perubahan",jadi pembicara talkshow risma beri pesan ke genz jangan takut perubahan,jadi pembicara talkshow risma beri pesan ke genz jangan takut perubahan,jadi pembicara talkshow risma beri pesan ke genz jangan takut perubahan,"['jadi', 'pembicara', 'talkshow', 'risma', 'beri', 'pesan', 'ke', 'genz', 'jangan', 'takut', 'perubahan']","['jadi', 'pembicara', 'talkshow', 'risma', 'beri', 'pesan', 'ke', 'genz', 'jangan', 'takut', 'perubahan']","['pembicara', 'talkshow', 'risma', 'pesan', 'genz', 'takut', 'perubahan']","['pembicara', 'talkshow', 'risma', 'pesan', 'genz', 'takut', 'perubahan']"
